Language_ID,Name,Glottocode,Latitude,Longitude,elevation_m
kore1280,Korean,kore1280,37.5,128.0,150.0
kett1243,Ket,kett1243,63.7551,87.5466,31.0
lakk1252,Lak,lakk1252,42.1328,47.0809,2011.0
kaba1278,Kabardian,kaba1278,43.5082,43.3918,1133.0
nucl1302,Georgian,nucl1302,41.850397,43.78613,1324.0
buru1296,Burushaski,buru1296,36.2161,74.8236,3375.0
kuru1302,Kurukh,kuru1302,24.4644,86.4657,277.0
telu1262,Telugu,telu1262,16.4529,78.7024,438.0
kota1263,Kota (India),kota1263,11.4978,76.9387,1385.0
mund1320,Mundari,mund1320,25.0391,87.1792,46.0
khar1287,Kharia,khar1287,22.3571,84.3922,379.0
khas1269,Khasi,khas1269,24.977,91.9998,38.0
seda1262,Sedang,seda1262,14.7793,108.027,1293.0
cent1989,Central Khmer,cent1989,12.0515,105.015,22.0
viet1252,Vietnamese,viet1252,20.681188,105.774071,5.0
mand1415,Mandarin Chinese,mand1415,40.0209,116.228,86.0
wuch1236,Wu Chinese,wuch1236,29.8621,119.682,161.0
hakk1236,Hakka Chinese,hakk1236,25.0,116.0,353.0
yuec1235,Yue Chinese,yuec1235,23.0,113.0,4.0
iumi1238,Iu Mien,iumi1238,20.83,101.17,1236.0
nyis1236,Nyishi-Hill Miri,nyis1236,27.278263,93.675529,908.0
nucl1310,Burmese,nucl1310,20.7926,93.9665,695.0
lahu1253,Lahu,lahu1253,21.2701,100.214,1398.0
garo1247,Garo,garo1247,25.2954,90.462,114.0
sgaw1245,S'gaw Karen,sgaw1245,17.9872,97.7126,250.0
lakk1238,Lakkia,lakk1238,24.1169,110.106,778.0
thai1261,Thai,thai1261,14.192,100.671,3.0
bouy1240,Bouyei,bouy1240,24.8484,106.187,785.0
west2650,Western Cham,west2650,12.4771,104.026,29.0
atay1247,Atayal,atay1247,24.5209,121.388,1908.0
plat1254,Plateau Malagasy,plat1254,-19.5907,47.1211,1653.0
stan1306,Standard Malay,stan1306,3.08896,101.699,52.0
bata1289,Batak Toba,bata1289,2.35498,99.1761,948.0
saba1265,Sa'ban,saba1265,3.58723,115.664,1000.0
sund1252,Sundanese,sund1252,-6.89708,107.106,493.0
java1254,Javanese,java1254,-0.572307,110.885,112.0
taga1270,Tagalog,taga1270,14.06,121.747,67.0
cham1312,Chamorro,cham1312,13.438011,144.74474,71.0
iaai1238,Iaai,iaai1238,-20.6301,166.59,18.0
adze1240,Adzera,adze1240,-6.39394,146.294,213.0
maor1246,Maori,maor1246,-38.2881,176.541,448.0
hawa1245,Hawaiian,hawa1245,19.6297,-155.43,2019.0
anta1253,Antakarinya,anta1253,-27.1152,134.838,175.0
nyan1301,Nyangumarta,nyan1301,-20.6271,121.391,259.0
kunj1245,Kunjen,kunj1245,-16.6807,143.53,159.0
mara1386,Maranunggu,mara1386,-13.6754,130.12,20.0
maun1240,Mawng,maun1240,-11.8393,133.185,24.0
nung1290,Wubuy,nung1290,-14.2623,135.753,6.0
alaw1244,Alawa,alaw1244,-15.5458,134.282,146.0
wikm1247,Wik-Mungkan,wikm1247,-13.98051,141.81611,30.0
nucl1632,Sentani,nucl1632,-2.6013,140.512,72.0
kwom1262,Kwoma,kwom1262,-4.08721,142.664,28.0
tamn1235,Tamnim Citak,tamn1235,-5.57962,139.233,22.0
tele1256,Telefol,tele1256,-5.07444,141.731,2129.0
gads1258,Gadsup,gads1258,-6.31631,145.997,1313.0
awiy1238,Awiyaana,awiy1238,-6.54079,145.76,1907.0
kuni1267,Kunimaipa,kuni1267,-8.09371,146.908,1871.0
sele1250,Selepet,sele1250,-6.03532,147.234,765.0
naas1242,Naasioi,naas1242,-6.46022,155.632,1840.0
aleu1260,Aleut,aleu1260,52.1228,-174.29,115.0
kala1399,Kalaallisut,kala1399,69.3761,-52.864,282.0
chip1261,Chipewyan,chip1261,58.3637,-110.832,257.0
tolo1259,Tolowa-Chetco,tolo1259,41.9192,-124.1,84.0
hupa1239,Hupa,hupa1239,41.0982,-123.68,136.0
nava1243,Navajo,nava1243,36.2106,-110.082,2111.0
nort2938,Northern Haida,nort2938,54.004532,-132.079257,81.0
squa1248,Squamish,squa1248,49.3231,-123.014,70.0
stra1244,Straits Salish,stra1244,48.51614,-123.757114,501.0
nuuc1236,Nuu-chah-nulth,nuuc1236,49.67,-126.67,665.0
kwak1269,Kwak'wala,kwak1269,50.9269,-127.308,96.0
east2542,Eastern Ojibwa,east2542,45.0112,-79.7503,216.0
unam1242,Unami,unam1242,35.0264,-98.3201,408.0
wich1260,Wichita,wich1260,35.0665,-98.1831,380.0
lako1247,Lakota,lako1247,46.3699,-103.95,837.0
sene1264,Seneca,sene1264,42.56,-77.53,427.0
onei1249,Oneida,onei1249,43.438742,-75.708106,374.0
yuch1247,Yuchi,yuch1247,35.96146,-95.03933,245.0
alab1237,Alabama,alab1237,30.76738,-94.62848,97.0
tuni1252,Tunica,tuni1252,30.9888,-92.5403,30.0
nezp1238,Nez Perce,nezp1238,46.3073,-116.408,1039.0
nort2952,Northeast Maidu,nort2952,40.4102,-120.645,1272.0
copa1236,Copainalá Zoque,copa1236,17.2157,-93.3183,525.0
papa1238,Papantla Totonac,papa1238,20.5671,-97.2554,88.0
taba1266,Tabasco Chontal,taba1266,18.1713,-92.7367,1.0
tzel1254,Tzeltal,tzel1254,16.6384,-92.2786,2103.0
pure1242,Purepecha,pure1242,19.2467,-101.631,2314.0
karo1304,Karok,karo1304,41.8228,-123.315,755.0
sout2982,Southeastern Pomo,sout2982,38.9354,-122.599,450.0
kumi1248,Tipai,kumi1248,32.331,-116.604,290.0
zuni1245,Zuni,zuni1245,35.0056,-108.782,2210.0
sout2961,Southern Tiwa,sout2961,34.7873,-106.661,1534.0
tewa1260,Rio Grande Tewa,tewa1260,35.9053,-106.124,1688.0
luis1253,Luiseno,luis1253,33.3184,-116.939,732.0
hopi1249,Hopi,hopi1249,35.7653,-110.535,1713.0
toho1245,Tohono O'odham,toho1245,31.7973,-111.995,641.0
mezq1235,Mezquital Otomi,mezq1235,20.2274,-99.5564,2383.0
cent2144,Central Mazahua,cent2144,19.7357,-100.018,2934.0
chiq1250,Chiquihuitlán Mazatec,chiq1250,18.0541,-96.6659,1866.0
sanm1295,San Miguel El Grande Mixtec,sanm1295,17.0777,-97.5432,2275.0
chac1249,Cha'palaa,chac1249,0.71489,-79.0508,142.0
paez1247,Páez,paez1247,2.61516,-76.3125,3417.0
iton1250,Itonama,iton1250,-12.80431,-64.35748,155.0
sout2991,South Bolivian Quechua,sout2991,-20.9201,-66.3331,4150.0
jaqa1244,Jaqaru,jaqa1244,-12.8823,-75.8958,2064.0
mapu1245,Mapudungun,mapu1245,-38.7392,-71.277,1545.0
isla1278,Island Carib,isla1278,15.364795,-61.342957,742.0
wapi1253,Wapishana,wapi1253,2.58744,-59.8021,132.0
wayu1243,Wayuu,wayu1243,11.395566,-72.199791,38.0
asha1243,Asháninka,asha1243,-11.9311,-73.9073,507.0
igna1246,Ignaciano,igna1246,-15.1188,-65.3993,156.0
yane1238,Yanesha',yane1238,-10.5454,-75.315,2456.0
shua1257,Shuar,shua1257,-3.45136,-78.1892,1274.0
waim1255,Waimaha,waim1255,0.30416,-70.1644,167.0
ticu1245,Ticuna,ticu1245,-3.66289,-69.8723,153.0
gali1262,Galibi Carib,gali1262,5.83772,-56.8323,8.0
ocai1244,Ocaina,ocai1244,-2.159,-72.1422,114.0
siri1273,Sirionó,siri1273,-15.5298,-63.9688,180.0
para1311,Paraguayan Guaraní,para1311,-25.60551,-57.08816,179.0
amah1246,Amahuaca,amah1246,-10.2012,-72.3208,449.0
chac1251,Chácobo,chac1251,-12.133,-66.7164,164.0
apin1244,Apinayé,apin1244,-6.10774,-47.6315,227.0
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,tari1263,34.916974,-3.430616,412.0
haus1257,Hausa,haus1257,11.1513,8.7804,596.0
ngas1240,Ngas,ngas1240,9.32042,9.46146,1113.0
marg1265,Marghi Central,marg1265,10.93854,13.0521,420.0
soma1255,Somali,soma1255,4.778704,45.152856,212.0
awng1244,Awngi,awng1244,10.9819,36.6916,2020.0
iraq1241,Iraqw,iraq1241,-4.19948,35.2939,1774.0
tigr1270,Tigre,tigr1270,17.3494,38.2233,2189.0
amha1245,Amharic,amha1245,11.708182,39.543456,3414.0
egyp1253,Egyptian Arabic,egyp1253,31.0,31.0,5.0
moro1292,Moroccan Arabic,moro1292,32.5,-7.5,357.0
malt1254,Maltese,malt1254,35.8884,14.4508,43.0
hebr1245,Modern Hebrew,hebr1245,31.1056,35.0179,510.0
libe1247,Liberia Kpelle,libe1247,6.92048,-9.96128,282.0
nucl1347,Wolof,nucl1347,15.2534,-15.383,47.0
dagb1246,Dagbani,dagb1246,9.64745,-0.43227,179.0
akan1250,Akan,akan1250,6.34756,-1.33254,176.0
gaaa1244,Ga,gaaa1244,5.65488,-0.18598,92.0
ewee1241,Ewe,ewee1241,6.46061,0.814975,119.0
nucl1417,Igbo,nucl1417,4.62705,7.23441,6.0
beem1239,Beembe,beem1239,-3.95895,14.1,381.0
swah1253,Swahili,swah1253,-8.25605,37.624,197.0
luva1239,Luvale,luva1239,-13.5382,22.2924,1074.0
zulu1248,Zulu,zulu1248,-25.3305,31.3512,531.0
gbay1287,Gbaya-Bossangoa,gbay1287,6.61896,17.645,475.0
koyr1242,Koyraboro Senni Songhai,koyr1242,16.9634,-0.55187,259.0
cent2050,Central Kanuri,cent2050,11.8863,16.3918,310.0
lugb1240,Lugbara,lugb1240,3.02245,30.8642,1217.0
nobi1240,Nobiin,nobi1240,22.8142,31.8376,275.0
luok1236,Luo (Kenya and Tanzania),luok1236,-0.93296,34.4896,1463.0
masa1300,Masai,masa1300,-3.1419,36.4573,1188.0
iris1253,Irish,iris1253,53.2186,-7.61509,85.0
bret1244,Breton,bret1244,48.2452,-3.78934,150.0
icel1247,Icelandic,icel1247,63.4837,-19.0212,303.0
norw1259,Norwegian Bokmål,norw1259,61.112,8.886,695.0
stan1293,English,stan1293,53.0,-1.0,18.0
stan1295,German,stan1295,48.649,12.4676,371.0
stan1290,French,stan1290,48.0,2.0,130.0
port1283,Portuguese,port1283,39.91,-8.1,445.0
stan1288,Spanish,stan1288,40.4414,-1.11788,1201.0
roma1327,Romanian,roma1327,46.3913,24.2256,332.0
russ1263,Russian,russ1263,59.0,50.0,181.0
bulg1262,Bulgarian,bulg1262,43.3646,25.047,99.0
lith1251,Lithuanian,lith1251,55.1429,23.9601,56.0
tosk1239,Northern Tosk Albanian,tosk1239,41.0,20.0,90.0
mode1248,Modern Greek,mode1248,42.3224,24.8699,189.0
nucl1235,Eastern Armenian,nucl1235,40.0,45.0,1864.0
